Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z2, 4, 2, 720, 15344.000000, 0.028516, 538083.882733, 538080.000000, 1.000000, 2, 1.469716, 152815.798274, 152815.798274
Z2, 5, 2, 720, 9320.000000, 0.028275, 329619.805482, 329616.000000, 1.000000, 2, 1.469716, 111122.982824, 111122.982824
Z2, 6, 2, 720, 6376.000000, 0.030440, 209461.235217, 209456.000000, 1.000000, 2, 1.469716, 87091.268771, 87091.268771
Z2, 7, 2, 720, 6872.000000, 0.032545, 211153.787064, 211152.000000, 1.000000, 2, 1.469716, 87429.779140, 87429.779140
Z3, 0, 2, 720, 7080.000000, 0.028683, 246836.105010,246832.000000, 1.000000, 2, 1.469716, 94566.242730, 94566.242730
Z3, 1, 2, 720, 7080.000000, 0.028567, 247838.414954,247832.000000, 1.000000, 2, 1.469716, 94766.704718, 94766.704718
Z3, 2, 2, 720, 5664.000000, 0.031085, 182210.069165,182208.000000, 1.000000, 2, 1.469716, 81641.035561, 81641.035561
Z3, 3, 2, 720, 7080.000000, 0.028208, 250992.626205,250992.000000, 1.000000, 2, 1.469716, 95397.546969, 95397.546969
Z3, 4, 2, 720, 7080.000000, 0.028962, 244458.255645,244456.000000, 1.000000, 2, 1.469716, 94090.672857, 94090.672857
Z3, 5, 2, 720, 5664.000000, 0.032569, 173907.703645,173904.000000, 1.000000, 2, 1.469716, 79980.562456, 79980.562456
Z3, 6, 2, 720, 7080.000000, 0.029456, 240358.500815,240352.000000, 1.000000, 2, 1.469716, 93270.721891, 93270.721891
Z3, 7, 2, 720, 7080.000000, 0.028996, 244171.609877,244168.000000, 1.000000, 2, 1.469716, 94033.343703, 94033.343703
Z3, 8, 2, 720, 5664.000000, 0.028805, 196632.529075,196632.000000, 1.000000, 2, 1.469716, 84525.527543, 84525.527543
Z3, 9, 2, 720, 17112.000000, 0.029125, 587536.480687,587536.000000, 1.000000, 2, 1.469716, 162706.317865, 162706.317865
Z3, 10, 2, 720, 15320.000000, 0.076113, 201279.676271,201272.000000, 1.000000, 2, 1.469716, 85454.956982, 85454.956982
Z3, 11, 2, 720, 10704.000000, 0.029778, 359460.004030,359456.000000, 1.000000, 2, 1.469716, 117091.022534, 117091.022534
Z3, 12, 2, 720, 18776.000000, 0.029282, 641213.031897,641208.000000, 1.000000, 2, 1.469716, 173441.628107, 173441.628107
Z3, 13, 2, 720, 21848.000000, 0.038203, 571892.259770,571888.000000, 1.000000, 2, 1.469716, 159577.473682, 159577.473682
Z3, 14, 2, 720, 12752.000000, 0.044623, 285771.911346,285768.000000, 1.000000, 2, 1.469716, 102353.403997, 102353.403997
Z3, 15, 2, 720, 21856.000000, 0.036991, 590846.422103,590840.000000, 1.000000, 2, 1.469716, 163368.306148, 163368.306148
Z3, 16, 2, 720, 16880.000000, 0.029962, 563380.281690,563376.000000, 1.000000, 2, 1.469716, 157875.078066, 157875.078066
Z3, 17, 2, 720, 12128.000000, 0.030051, 403580.579681,403576.000000, 1.000000, 2, 1.469716, 125915.137664, 125915.137664
Z3, 18, 2, 720, 18392.000000, 0.029844, 616271.277309,616264.000000, 1.000000, 2, 1.469716, 168453.277189, 168453.277189
Z3, 19, 2, 720, 9160.000000, 0.029474, 310782.384474,310776.000000, 1.000000, 2, 1.469716, 107355.498622, 107355.498622
Z3, 20, 2, 720, 11592.000000, 0.029892, 387796.065837,387792.000000, 1.000000, 2, 1.469716, 122758.234895, 122758.234895
Z3, 21, 2, 720, 9952.000000, 0.031743, 313517.940963,313512.000000, 1.000000, 2, 1.469716, 107902.609920, 107902.609920
Z3, 22, 2, 720, 11064.000000, 0.035689, 310011.488134,310008.000000, 1.000000, 2, 1.469716, 107201.319354, 107201.319354
Z3, 23, 2, 720, 14728.000000, 0.038595, 381603.834694,381600.000000, 1.000000, 2, 1.469716, 121519.788666, 121519.788666
Z3, 24, 2, 720, 16264.000000, 0.036686, 443329.880608,443328.000000, 1.000000, 2, 1.469716, 133864.997849, 133864.997849
Z3, 25, 2, 720, 9504.000000, 0.037158, 255772.646536,255768.000000, 1.000000, 2, 1.469716, 96353.551035, 96353.551035
